年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2025,安徽,普通类,理/物理,自动化,2,542,543.00,544,
2025,安徽,普通类,理/物理,质量管理工程,2,519,520.00,521,
2025,安徽,普通类,理/物理,无人驾驶航空器系统工程,2,548,550.50,553,
2025,安徽,普通类,理/物理,外国语言文学类,2,520,520.00,520,
2025,安徽,普通类,理/物理,土木工程,4,528,529.00,530,
2025,安徽,普通类,理/物理,数学与应用数学,3,530,530.67,532,
2025,安徽,普通类,理/物理,数据计算及应用,2,529,529.00,529,
2025,安徽,普通类,理/物理,审计学,2,526,526.00,526,
2025,安徽,普通类,理/物理,人力资源管理,2,517,520.00,523,
2025,安徽,普通类,理/物理,人工智能,2,535,535.50,536,
2025,安徽,普通类,理/物理,能源与动力工程,5,533,534.20,535,
2025,安徽,普通类,理/物理,经济学,2,516,516.50,517,
2025,安徽,普通类,理/物理,金融学,2,519,519.00,519,
2025,安徽,普通类,理/物理,金融科技,2,515,516.50,518,
2025,安徽,普通类,理/物理,交通运输,4,537,538.25,539,
2025,安徽,普通类,理/物理,计算机类,5,533,535.80,542,
2025,安徽,普通类,理/物理,机械设计制造及其自动化,5,537,539.00,541,
2025,安徽,普通类,理/物理,会计学（注册会计师方向）,2,526,530.50,535,
2025,安徽,普通类,理/物理,环境工程,2,530,531.00,532,
2025,安徽,普通类,理/物理,航空航天工程,2,549,550.00,551,
2025,安徽,普通类,理/物理,国际经济与贸易,2,518,520.00,522,
2025,安徽,普通类,理/物理,工业设计,3,528,529.00,530,
2025,安徽,普通类,理/物理,工业工程,2,526,527.50,529,
2025,安徽,普通类,理/物理,工商管理,2,518,519.50,521,
2025,安徽,普通类,理/物理,工程管理,2,515,516.50,518,
2025,安徽,普通类,理/物理,给排水科学与工程,3,530,531.00,532,
2025,安徽,普通类,理/物理,飞行器质量与可靠性,2,546,546.50,547,
2025,安徽,普通类,理/物理,飞行器制造工程,2,548,548.00,548,
2025,安徽,普通类,理/物理,法学,2,522,523.50,525,
2025,安徽,普通类,理/物理,电子信息类,5,535,536.20,538,
2025,安徽,普通类,理/物理,电气工程及其自动化,2,543,543.00,543,
2025,安徽,普通类,理/物理,大数据管理与应用,2,524,524.50,525,
2025,安徽,普通类,理/物理,车辆工程,5,531,533.00,535,
2025,安徽,普通类,理/物理,材料类,8,529,530.38,534,
