年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,河南,艺术类,理科,环境设计 (中外合作办学),6,597,617.50,656,
2021,河南,艺术类,理科,产品设计 (中外合作办学),5,583,597.80,610,
2021,河南,艺术类,理科,设计学类,10,592,628.90,674,
2021,河南,艺术类,理科,动画,3,585,636.33,683,
2021,河南,艺术类,理科,航空服务艺术与管理,13,164,168.92,174,
2021,河南,中外合作办学,理科,物流管理 (中外课程合作),100,471,474.60,492,
2021,河南,中外合作办学,理科,土木工程 (中外课程合作),100,473,478.71,503,
2021,河南,中外合作办学,理科,机械设计制造及其自动化 (中外课程合作),100,480,486.43,517,
2021,河南,中外合作办学,理科,飞行器设计与工程 (中外合作办学),76,476,484.46,518,
2021,河南,中外合作办学,理科,自动化 (中外合作办学),66,445,461.20,506,
2021,河南,中外合作办学,理科,质量管理工程 (中外合作办学),66,430,437.24,473,
2021,河南,中外合作办学,理科,信息管理与信息系统 (中外合作办学),41,443,461.29,498,
2021,河南,中外合作办学,理科,材料成型及控制工程 (中外合作办学),66,436,449.42,499,
2021,河南,中外合作办学,文科,信息管理与信息系统 (中外合作办学),25,523,531.16,551,
2022,河南,普招 - 本科一批,文科,中国语言文学类,88,532,534.08,545,
2022,河南,普招 - 本科一批,文科,行政管理,29,531,531.86,536,
2022,河南,普招 - 本科一批,文科,外国语言文学类,83,530,531.28,535,
2022,河南,普招 - 本科一批,文科,图书情报与档案管理类,44,530,531.48,545,
2022,河南,普招 - 本科一批,文科,旅游管理,8,530,530.50,531,
2022,河南,普招 - 本科一批,文科,经济与贸易类,39,531,531.49,536,
2022,河南,普招 - 本科一批,文科,经济学类,22,533,534.45,539,
2022,河南,普招 - 本科一批,文科,金融学类,35,531,532.57,539,
2022,河南,普招 - 本科一批,文科,广告学,23,532,533.57,538,
2022,河南,普招 - 本科一批,文科,工商管理类,80,532,535.59,545,
2022,河南,普招 - 本科一批,文科,法语,23,530,531.26,541,
2022,河南,普招 - 本科一批,文科,法学,47,534,535.85,544,
2022,河南,普招 - 本科一批,理科,自动化,20,528,529.20,534,
2022,河南,普招 - 本科一批,理科,行政管理,12,520,522.67,526,
2022,河南,普招 - 本科一批,理科,信息管理与信息系统,20,525,525.65,528,
2022,河南,普招 - 本科一批,理科,物流管理与工程类,75,519,521.43,525,
2022,河南,普招 - 本科一批,理科,无人驾驶航空器系统工程,20,523,525.20,531,
2022,河南,普招 - 本科一批,理科,外国语言文学类,48,519,523.10,536,
2022,河南,普招 - 本科一批,理科,土木类,111,519,522.77,540,
2022,河南,普招 - 本科一批,理科,图书情报与档案管理类,17,519,522.24,527,
2022,河南,普招 - 本科一批,理科,数学与应用数学,38,524,526.45,534,
2022,河南,普招 - 本科一批,理科,人工智能,38,526,528.00,539,
2022,河南,普招 - 本科一批,理科,旅游管理,12,520,520.83,523,
2022,河南,普招 - 本科一批,理科,经济与贸易类,45,519,521.42,527,
2022,河南,普招 - 本科一批,理科,经济学类,60,520,524.35,535,
2022,河南,普招 - 本科一批,理科,金融学类,121,520,523.53,540,
2022,河南,普招 - 本科一批,理科,交通运输 (空管与签派),21,521,522.90,527,
2022,河南,普招 - 本科一批,理科,交通运输,18,522,523.83,530,
2022,河南,普招 - 本科一批,理科,计算机类,118,529,532.08,546,
2022,河南,普招 - 本科一批,理科,机械类,125,524,526.07,551,
2022,河南,普招 - 本科一批,理科,环境工程,20,519,521.30,526,
2022,河南,普招 - 本科一批,理科,广告学,20,523,526.40,533,
2022,河南,普招 - 本科一批,理科,工业工程类,78,520,523.45,543,
2022,河南,普招 - 本科一批,理科,工商管理类,252,521,526.15,557,
2022,河南,普招 - 本科一批,理科,工程管理,40,520,522.70,532,
2022,河南,普招 - 本科一批,理科,飞行器质量与可靠性,20,519,522.45,527,
2022,河南,普招 - 本科一批,理科,飞行器适航技术,24,520,523.50,540,
2022,河南,普招 - 本科一批,理科,飞行器设计与工程,21,525,527.38,533,
2022,河南,普招 - 本科一批,理科,飞行器动力工程,44,522,525.61,538,
2022,河南,普招 - 本科一批,理科,法语,14,519,523.36,526,
2022,河南,普招 - 本科一批,理科,法学,21,530,532.52,537,
2022,河南,普招 - 本科一批,理科,电子信息类,81,527,528.27,535,
2022,河南,普招 - 本科一批,理科,电气工程及其自动化,50,530,531.84,539,
2022,河南,普招 - 本科一批,理科,城乡规划,20,519,520.25,529,
2022,河南,普招 - 本科一批,理科,材料类,115,519,522.71,528,
2022,河南,普招 - 本科一批,理科,安全工程,26,519,521.38,525,
2022,河南,普招 - 地方专项,文科,外国语言文学类,3,530,530.00,530,
2022,河南,普招 - 地方专项,文科,经济与贸易类,3,530,530.00,530,
2022,河南,普招 - 地方专项,文科,经济学类,3,530,530.33,531,
2022,河南,普招 - 地方专项,文科,金融学类,3,530,531.33,532,
2022,河南,普招 - 地方专项,文科,工商管理类,3,530,530.33,531,
2022,河南,普招 - 地方专项,文科,法学,3,531,532.33,534,
2022,河南,普招 - 地方专项,理科,物流管理与工程类,5,517,517.00,517,
2022,河南,普招 - 地方专项,理科,土木类,4,517,518.00,519,
2022,河南,普招 - 地方专项,理科,经济与贸易类,5,517,517.00,517,
2022,河南,普招 - 地方专项,理科,经济学类,5,518,518.20,519,
2022,河南,普招 - 地方专项,理科,金融学类,5,518,519.20,521,
2022,河南,普招 - 地方专项,理科,计算机类,5,523,525.20,529,
2022,河南,普招 - 地方专项,理科,机械类,5,519,519.60,521,
2022,河南,普招 - 地方专项,理科,工业工程类,5,517,518.20,520,
2022,河南,普招 - 地方专项,理科,工商管理类,5,517,518.60,520,
2022,河南,普招 - 地方专项,理科,工程管理,5,517,517.40,519,
2022,河南,普招 - 地方专项,理科,飞行器设计与工程,2,519,520.00,521,
2022,河南,普招 - 地方专项,理科,飞行器动力工程,3,518,518.00,518,
2022,河南,普招 - 地方专项,理科,电子信息类,5,521,523.00,525,
2022,河南,普招 - 地方专项,理科,电气工程及其自动化,5,521,522.80,526,
2022,河南,普招 - 地方专项,理科,材料类,4,518,518.75,521,
2022,河南,普招 - 地方专项,理科,安全工程,4,517,518.25,521,
2022,河南,普招 - 飞行技术,理科,飞行技术,28,458,488.89,527,
2022,河南,普招 - 国家专项,文科,经济与贸易类,2,539,539.50,540,
2022,河南,普招 - 国家专项,文科,经济学类,2,542,543.00,544,
2022,河南,普招 - 国家专项,文科,金融学类,3,542,542.00,542,
2022,河南,普招 - 国家专项,文科,工商管理类,3,539,540.67,544,
2022,河南,普招 - 国家专项,理科,经济与贸易类,4,530,530.75,533,
2022,河南,普招 - 国家专项,理科,经济学类,4,534,541.75,562,
2022,河南,普招 - 国家专项,理科,金融学类,4,533,535.00,539,
2022,河南,普招 - 国家专项,理科,计算机类,4,537,540.00,547,
2022,河南,普招 - 国家专项,理科,机械类,4,536,536.25,537,
2022,河南,普招 - 国家专项,理科,工业工程类,4,531,533.00,535,
2022,河南,普招 - 国家专项,理科,工商管理类,5,535,536.80,539,
